"Time [ns]","Moving1.Position-45deg [deg]","Moving1.Torque [mNewtonMeter]"
7299999.99999998,-11.6110306394055,45.2656533239868
7349999.99999998,-13.2212045308395,46.8311349407965
7399999.99999998,-14.7955453528073,47.6757695743764
7449999.99999998,-16.3333186393249,48.476326125761
7499999.99999998,-17.8338912205102,49.3817612840372
7549999.99999998,-19.2966384790414,49.8448668190775
7599999.99999998,-20.7211591958103,50.2251180127654
7649999.99999998,-22.1071398256787,50.6933800873176
7699999.99999998,-23.4542379271108,51.118464225616
7749999.99999998,-24.7621422561872,51.3842391521641
7799999.99999998,-26.0306297814295,51.6404811400194
7849999.99999998,-27.2595018574026,51.9034302818905
7899999.99999998,-28.4485491501765,52.2326830972876
7949999.99999998,-29.5975445715706,52.4288777503265
7999999.99999998,-30.7063295017878,52.5554804862409
8049999.99999998,-31.7747716763208,52.8873729099459
8099999.99999998,-32.8026534524571,53.1354784378436
8149999.99999998,-33.7897865502775,53.2837827321623
8199999.99999998,-34.7360407211951,53.4611906620092
8249999.99999998,-35.641302379716,53.4916560107945
8299999.99999998,-36.5055012574426,53.7419862720788
8349999.99999998,-37.3284578228133,54.1143940118431
8399999.99999998,-38.1099267388018,54.2933199766388
8449999.99999998,-38.8497655811885,54.3191699127258
8499999.99999998,-39.5479302832105,54.3815094488309
8549999.99999998,-40.2043778222752,54.4427997074494
8599999.99999998,-40.8190658636191,54.466417665989
8649999.99999998,-41.3919472259026,54.6796812731689
8699999.99999998,-41.9228776600476,54.9312434284797
8749999.99999997,-42.4116773794814,55.1179198867653
8799999.99999997,-42.8582092587744,55.1921692981181
8849999.99999997,-43.2624048463547,55.2438845990213
8899999.99999997,-43.6242295966573,55.2329698166678
8949999.99999997,-43.9436773319475,55.2732323845643
8999999.99999997,-44.2207251869347,55.3019362399232
9049999.99999997,-44.4553530877068,55.3038650162144
9099999.99999997,-44.6475551092078,55.3137884860194
9149999.99999997,-44.7973231330961,55.3356628969691
9199999.99999997,-44.9046414077907,55.3614417232345
9249999.99999997,-44.9694913783711,55.3815780814939
9300000,-44.9918584567941,55.3893532287097
